1 はずれ
中5→右9→左8 ×
中5→右12→左9 ×
中5→右13→左8 ×
中5→右14→左9 ×
中5→右16→左9 ×
中5→右17→左8 ×
中6→左8→右15 ×
中6→右14→左9 ×
中7→左6→右15 ×
中7→左13→右1 ×
中7→右1→左16 ×
中7→右2→左15 ×
中7→右5→左16 ×
中7→右6→左15 ×
中7→右9→左16 ×
中7→右10→左15 ×
中7→右13→左16 ×
中7→右14→左7 ×
中7→右17→左16 ×
中7→右18→左15 ×
中7→右20→左8 ×
中8→左6→右1 ×
中8→左13→右1 ×
中8→左14→右3 ×
中8→右3→左8 ×
中8→右7→左8 ×
中8→右11→左8 ×
中8→右14→左9 ×
中8→右15→左8 ×
中8→右20→左8 ×
中9→左6→右15 ×
中9→右1→左8 ×
中9→右4→左9 ×
中9→右5→左8 ×
中9→右8→左9 ×
中9→右9→左8 ×
中9→右12→左9 ×
中9→右13→左8 ×
中9→右14→左9 ×
中9→右16→左9 ×
中9→右17→左8 ×
中10→左8→右15 ×
中10→右14→左9 ×
中11→左6→右15 ×
中11→左13→右1 ×
中11→右1→左16 ×
中11→右2→左15 ×
中11→右5→左16 ×
中11→右6→左15 ×
中11→右9→左16 ×
中11→右10→左15 ×
中11→右13→左16 ×
中11→右14→左7 ×
中11→右17→左16 ×
中11→右18→左15 ×
中11→右20→左8 ×
中12→左6→右1 ×
中12→左13→右1 ×
中12→左14→右3 ×
中12→右3→左8 ×
中12→右7→左8 ×
中12→右11→左8 ×
中12→右14→左9 ×
中12→右15→左8 ×
中12→右20→左8 ×
中13→左6→右15 ×
中13→左9 ×
中14→左1→右5 ×
中14→左8→右15 ×
中14→右1→左9 ×
中14→右2→左18 ×
中14→右5→左9 ×
中14→右6→左18 ×
中14→右9→左9 ×
中14→右10→左18 ×
中14→右13→左9 ×
中14→右14→左9 ×
中14→右17→左9 ×
中14→右18→左18 ×
中15→左6→右15 ×
中15→左13→右1 ×
中15→右1→左16 ×
中15→右2→左15 ×
中15→右4→左3 ×
中15→右5→左16 ×
中15→右6→左15 ×
中15→右8→左3 ×
中15→右9→左16 ×
中15→右10→左15 ×
中15→右12→左3 ×
中15→右13→左16 ×
中15→右14→左7 ×
中15→右16→左3 ×
中15→右17→左16 ×
中15→右18→左15 ×
中15→右20→左3 ×
中16→左6→右1 ×
中16→左13→右1 ×
中16→左14→右3 ×
中16→右1→左8 ×
中16→右2→左2 ×
中16→右3→左8 ×
中16→右5→左8 ×
中16→右6→左2 ×
中16→右7→左8 ×
中16→右9→左8 ×
中16→右10→左2 ×
中16→右11→左8 ×
中16→右13→左8 ×
中16→右14→左2 ×
中16→右15→左8 ×
中16→右17→左8 ×
中16→右18→左2 ×
中16→右20→左8 ×
中17→左14→右1 ×
中17→右1→左8 ×
中17→右2→左3 ×
中17→右3→左9 ×
中17→右4→左2 ×
中17→右5→左8 ×
中17→右6→左3 ×
中17→右7→左9 ×
中17→右8→左2 ×
中17→右9→左8 ×
中17→右10→左3 ×
中17→右11→左9 ×
中17→右12→左2 ×
中17→右13→左8 ×
中17→右14→左3 ×
中17→右15→左9 ×
中17→右16→左2 ×
中17→右17→左8 ×
中17→右18→左3 ×
中17→右19→左8 ×
中17→右20→左2 ×
中17→右5 ×
中18→左15→右15 ×
中18→右14→左9 ×
中19→左6→右15 ×
中19→左13→右1 ×
中19→左15→右1 ×
中19→右1→左16 ×
中19→右2→左15 ×
中19→右5→左16 ×
中19→右6→左15 ×
中19→右9→左16 ×
中19→右10→左15 ×
中19→右13→左16 ×
中19→右14→左7 ×
中19→右17→左16 ×
中19→右18→左15 ×
中19→右20→左8 ×
中20→左6→右1 ×
中20→左13→右1 ×
中20→左14→右3 ×
中20→右2→左2 ×
中20→右3→左8 ×
中20→右6→左2 ×
中20→右7→左8 ×
中20→右10→左2 ×
中20→右11→左8 ×
中20→右14→左2 ×
中20→右15→左8 ×
中20→右18→左2 ×
中20→右20→左8 ×
中21→左14→右1 ×
中21→右1→左8 ×
中21→右2→左3 ×
中21→右3→左9 ×
中21→右4→左2 ×
中21→右5→左8 ×
中21→右6→左3 ×
中21→右7→左9 ×
中21→右8→左2 ×
中21→右9→左8 ×
中21→右10→左3 ×
中21→右11→左9 ×
中21→右12→左2 ×
中21→右13→左8 ×
中21→右14→左3 ×
中21→右15→左9 ×
中21→右16→左2 ×
中21→右17→左8 ×
中21→右18→左3 ×
中21→右19→左8 ×
中21→右20→左2 ×
中21→右5 ×
右1→中2→左9 ×
右1→中3→左16 ×
右1→中5→左8 ×
右1→中7→左16 ×
右1→中9→左8 ×
右1→中11→左16 ×
右1→中13→左8 ×
右1→中14→左9 ×
右1→中15→左16 ×
右1→中16→左8 ×
右1→中17→左8 ×
右1→中19→左16 ×
右1→中21→左8 ×
右1→中17 ×
右2→左15→中2 ×
右2→中2→左3 ×
右2→中3→左15 ×
右2→中7→左15 ×
右2→中11→左15 ×
右2→中14→左18 ×
右2→中15→左15 ×
右2→中16→左2 ×
右2→中17→左3 ×
右2→中19→左15 ×
右2→中20→左2 ×
右2→中21→左3 ×
右2→中2 ×
右3→中4→左8 ×
右3→中8→左8 ×
右3→中12→左8 ×
右3→中13→左9 ×
右3→中16→左8 ×
右3→中17→左9 ×
右3→中20→左8 ×
右3→中21→左9 ×
右4→中2→左1 ×
右4→中3→左17 ×
右4→中5→左9 ×
右4→中9→左9 ×
右4→中13→左9 ×
右4→中15→左3 ×
右4→中17→左2 ×
右4→中21→左2 ×
右5→中2→左9 ×
右5→中3→左16 ×
右5→中5→左8 ×
右5→中7→左16 ×
右5→中9→左8 ×
右5→中11→左16 ×
右5→中13→左8 ×
右5→中14→左9 ×
右5→中15→左16 ×
右5→中16→左8 ×
右5→中17→左8 ×
右5→中19→左16 ×
右5→中21→左8 ×
右5→中17 ×
右6→左15→中2 ×
右6→中2→左3 ×
右6→中3→左15 ×
右6→中7→左15 ×
右6→中11→左15 ×
右6→中14→左18 ×
右6→中15→左15 ×
右6→中16→左2 ×
右6→中17→左3 ×
右6→中19→左15 ×
右6→中20→左2 ×
右6→中21→左3 ×
右6→中2 ×
右7→中4→左8 ×
右7→中8→左8 ×
右7→中12→左8 ×
右7→中13→左9 ×
右7→中16→左8 ×
右7→中17→左9 ×
右7→中20→左8 ×
右7→中21→左9 ×
右8→中2→左1 ×
右8→中3→左17 ×
右8→中5→左9 ×
右8→中9→左9 ×
右8→中13→左9 ×
右8→中15→左3 ×
右8→中17→左2 ×
右8→中21→左2 ×
右9→中2→左9 ×
右9→中3→左16 ×
右9→中5→左8 ×
右9→中7→左16 ×
右9→中9→左8 ×
右9→中11→左16 ×
右9→中13→左8 ×
右9→中14→左9 ×
右9→中15→左16 ×
右9→中16→左8 ×
右9→中17→左8 ×
右9→中19→左16 ×
右9→中21→左8 ×
右9→中17 ×
右10→左15→中2 ×
右10→中2→左3 ×
右10→中3→左15 ×
右10→中7→左15 ×
右10→中11→左15 ×
右10→中14→左18 ×
右10→中15→左15 ×
右10→中16→左2 ×
右10→中17→左3 ×
右10→中19→左15 ×
右10→中20→左2 ×
右10→中21→左3 ×
右10→中2 ×
右11→中4→左8 ×
右11→中8→左8 ×
右11→中12→左8 ×
右11→中13→左9 ×
右11→中16→左8 ×
右11→中17→左9 ×
右11→中20→左8 ×
右11→中21→左9 ×
右12→中2→左1 ×
右12→中3→左17 ×
右12→中5→左9 ×
右12→中9→左9 ×
右12→中13→左9 ×
右12→中15→左3 ×
右12→中17→左2 ×
右12→中21→左2 ×
右13→中2→左9 ×
右13→中3→左16 ×
右13→中5→左8 ×
右13→中7→左16 ×
右13→中9→左8 ×
右13→中11→左16 ×
右13→中13→左8 ×
右13→中14→左9 ×
右13→中15→左16 ×
右13→中16→左8 ×
右13→中17→左8 ×
右13→中19→左16 ×
右13→中21→左8 ×
右13→中17 ×
右14→左9 ×
右15→中4→左8 ×
右15→中8→左8 ×
右15→中12→左8 ×
右15→中13→左9 ×
右15→中16→左8 ×
右15→中17→左9 ×
右15→中20→左8 ×
右15→中21→左9 ×
右16→中2→左1 ×
右16→中3→左17 ×
右16→中5→左9 ×
右16→中9→左9 ×
右16→中13→左9 ×
右16→中15→左3 ×
右16→中17→左2 ×
右16→中21→左2 ×
右17→中2→左9 ×
右17→中3→左16 ×
右17→中5→左8 ×
右17→中7→左16 ×
右17→中9→左8 ×
右17→中11→左16 ×
右17→中13→左8 ×
右17→中14→左9 ×
右17→中15→左16 ×
右17→中16→左8 ×
右17→中17→左8 ×
右17→中19→左16 ×
右17→中21→左8 ×
右17→中17 ×
右18→左15→中2 ×
右18→中2→左3 ×
右18→中3→左15 ×
右18→中7→左15 ×
右18→中11→左15 ×
右18→中14→左18 ×
右18→中15→左15 ×
右18→中16→左2 ×
右18→中17→左3 ×
右18→中19→左15 ×
右18→中20→左2 ×
右18→中21→左3 ×
右18→中2 ×
右19→中2→左8 ×
右19→中13→左9 ×
右19→中17→左8 ×
右19→中21→左8 ×
右20→左6→中2 ×
右20→左9 ×
右21→左9→中3 ×
右21→中2→左3 ×
右21→中13→左9 ×
右1で詰みました
